source_taxon_name,interaction_type,target_taxon_name,target_taxon,latitude,longitude,place,study_citation
Bouteloua gracilis,flowersVisitedBy, Photaliotes nebrascens,species,,,USA,"Holmes, Robert D., and Karen Jepson-Innes. “A Neighborhood Analysis of Herbivory in Bouteloua Gracilis.” Ecology (Durham), vol. 70, no. 4, 1989, pp. 971–76, https://doi.org/10.2307/1941364."
Bouteloua gracilis,flowersVisitedBy,Opeia obscura ,species,,,USA,"Holmes, Robert D., and Karen Jepson-Innes. “A Neighborhood Analysis of Herbivory in Bouteloua Gracilis.” Ecology (Durham), vol. 70, no. 4, 1989, pp. 971–76, https://doi.org/10.2307/1941364."
Bouteloua gracilis,flowersVisitedBy,Psoloessa texana,species,,,USA,"Rominger, Andrew J., et al. “Relative Contributions of Neutral and Niche-Based Processes to the Structure of a Desert Grassland Grasshopper Community.” Oecologia, vol. 161, no. 4, 2009, pp. 791–800, https://doi.org/10.1007/s00442-009-1420-z."
Bouteloua gracilis,flowersVisitedBy,Psoloessa delicatula,species,,,USA,"Rominger, Andrew J., et al. “Relative Contributions of Neutral and Niche-Based Processes to the Structure of a Desert Grassland Grasshopper Community.” Oecologia, vol. 161, no. 4, 2009, pp. 791–800, https://doi.org/10.1007/s00442-009-1420-z."
Bouteloua gracilis,flowersVisitedBy,,,,,USA,"Norton, Andrew P., et al. “Herbivory and Novel Weapons: No Evidence for Enhanced Competitive Ability or Allelopathy Induction of Centaurea Diffusa by Biological Controls.” Biological Invasions, vol. 10, no. 1, 2008, pp. 79–88, https://doi.org/10.1007/s10530-007-9111-3."
Bouteloua gracilis,flowersVisitedBy,Hemileuca Oliviae,species,,,USA,"RILEY, S. L., et al. “Consumption and Utilization of Blue Grama Grass, Bouteloua Gracilis, by Range Caterpillar Larvae, Hemileuca Oliviae (Lepidoptera:Saturniidae).” Environmental Entomology, vol. 13, no. 1, 1984, pp. 29–35."
Bouteloua gracilis,flowersVisitedBy,Phyllophaga fimbripes,species,,,USA,"Coffin, D. P., et al. “Disturbance Intensity and Above- and Belowground Herbivory Effects on Long-Term (14y) Recovery of a Semiarid Grassland.” Plant Ecology, vol. 139, no. 2, 1998, pp. 221–33, https://doi.org/10.1023/A:1009789017151."
Bouteloua gracilis,flowersVisitedBy,Holotrichia ,genus,,,USA,"Coffin, D. P., et al. “Disturbance Intensity and Above- and Belowground Herbivory Effects on Long-Term (14y) Recovery of a Semiarid Grassland.” Plant Ecology, vol. 139, no. 2, 1998, pp. 221–33, https://doi.org/10.1023/A:1009789017151."
Bouteloua gracilis,flowersVisitedBy,,,,,USA,"Ingham, Russell E., and James K. Detling. “Effects of Carbofuran on Growth, Biomass Allocation, and Intraspecific Competition in Bouteloua Gracilis.” Journal of Environmental Science and Health. Part B, Pesticides, Food Contaminants, and Agricultural Wastes, vol. 17, no. 5, 1982, pp. 541–48, https://doi.org/10.1080/03601238209372340."
Bouteloua gracilis,flowersVisitedBy,,,,,USA,"O’Neill, Kevin M., et al. “NATURAL ENEMY ASSEMBLAGES ON NATIVE AND RESEEDED GRASSLANDS IN SOUTHWESTERN MONTANA: A FAMILY-LEVEL ANALYSIS.” Western North American Naturalist, vol. 61, no. 2, 2001, pp. 195–203."
