source_taxon_name,interaction_type,target_taxon_name,target_taxon,notes,latitude,longitude,study_citation
Achillea millefolium,pollinatedBy,Delia,genus,,61.119,24.94,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Sicus,genus,,67.59,24.946,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Fannia,genus,,61.055,25.042,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Musca,genus,,65.35,26.733,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Ectophasia,genus,,46.4904,22.8231,doi:10.1093/aobpla/ply068
Chamaenerion angustifolium angustifolium,pollinatedBy,Pieris,genus,,56.066667,10.233333,"Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark."
Chamaenerion angustifolium angustifolium,pollinatedBy,Erynnis,genus,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Chamaenerion angustifolium angustifolium,pollinatedBy,Dolichovespula,genus,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Chamaenerion angustifolium angustifolium,pollinatedBy,Prosopis,genus,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Chamaenerion angustifolium angustifolium,pollinatedBy,Lestica,genus,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Chamaenerion angustifolium angustifolium,pollinatedBy,Atrytone,genus,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
