sp1_name,sp2_name,peak_flowering,start_flowering,first_no_flowering,end_flowering,flowering_length
Rosa woodsii,Rosa woodsii,6,6,9,8,3
Rubus arcticus,Rubus arcticus,6,5,9,8,4
Rubus idaeus,Rubus idaeus,6,6,8,7,2
Rubus parviflorus,Rubus parviflorus,6,5,8,7,3
Rubus pubescens,Rubus pubescens,6,5,7,6,2
Spiraea alba,Spiraea alba,7,7,9,8,2
Spiraea betulifolia,Spiraea betulifolia,NA,NA,NA,#VALUE!,#VALUE!
Spiraea splendens,Spiraea splendens,NA,6,9,8,3
Galium boreale,Galium boreale,7,6,9,8,3
Galium trifidum,Galium trifidum,7,6,10,9,4
Galium triflorum,Galium triflorum,7,6,9,8,3
Populus angustifolia,Populus angustifolia,NA,NA,NA,#VALUE!,#VALUE!
Populus balsamifera,Populus balsamifera,4,4,6,5,2
Populus deltoides,Populus deltoides,NA,4,5,4,1
Populus tremuloides,Populus tremuloides,4,4,5,4,1
Salix bebbiana,Salix bebbiana,6,5,9,8,4
Salix brachycarpa,Salix brachycarpa,NA,NA,NA,#VALUE!,#VALUE!
Salix candida,Salix candida,6,5,7,6,2
Salix discolor,Salix discolor,4,3,6,5,3
Salix drummondiana,Salix drummondiana,NA,NA,NA,#VALUE!,#VALUE!
Salix exigua,Salix exigua,NA,5,9,8,4
Salix famelica,Salix famelica,5,5,6,5,1
Salix farriae,Salix farriae,NA,NA,NA,#VALUE!,#VALUE!
Salix glauca,Salix glauca,6,6,8,7,2
Salix interior,Salix interior,5,5,8,7,3
Salix maccalliana,Salix maccalliana,NA,NA,NA,#VALUE!,#VALUE!
Salix melanopsis,Salix melanopsis,NA,NA,NA,#VALUE!,#VALUE!
Salix petiolaris,Salix petiolaris,NA,5,6,5,1
Salix planifolia,Salix planifolia,4,4,6,5,2
Salix prolixa,Salix prolixa,NA,NA,NA,#VALUE!,#VALUE!
Salix pseudomonticola,Salix pseudomonticola,NA,NA,NA,#VALUE!,#VALUE!
Salix pseudomyrsinites,Salix pseudomyrsinites,NA,NA,NA,#VALUE!,#VALUE!
Salix scouleriana,Salix scouleriana,NA,NA,NA,#VALUE!,#VALUE!
Salix serissima,Salix serissima,6,5,7,6,2
Salix vestita,Salix vestita,6,6,9,8,3
Geocaulon lividum,Geocaulon lividum,5,5,7,6,2
Acer glabrum,Acer glabrum,5,5,7,6,2
Acer negundo,Acer negundo,5,4,6,5,2
Heuchera cylindrica,Heuchera cylindrica,6,6,10,9,4
Heuchera parvifolia,Heuchera parvifolia,6,5,8,7,3
Heuchera richardsonii,Heuchera richardsonii,7,6,8,7,2
Leptarrhena pyrolifolia,Leptarrhena pyrolifolia,7,6,9,8,3
Lithophragma parviflorum,Lithophragma parviflorum,NA,6,8,7,2
Micranthes lyallii,Micranthes lyallii,7,6,10,9,4
Micranthes occidentalis,Micranthes occidentalis,6,5,9,8,4
Mitella nuda,Mitella nuda,6,5,10,9,5
Saxifraga adscendens,Saxifraga adscendens,NA,NA,NA,#VALUE!,#VALUE!
Saxifraga bronchialis,Saxifraga bronchialis,7,5,10,9,5
Saxifraga cernua,Saxifraga cernua,6,6,9,8,3
Saxifraga cespitosa,Saxifraga cespitosa,6,6,9,8,3
Suksdorfia violacea,Suksdorfia violacea,NA,NA,NA,#VALUE!,#VALUE!
Tiarella trifoliata,Tiarella trifoliata,7,6,10,9,4
Selaginella densa,Selaginella densa,NA,NA,NA,#VALUE!,#VALUE!
Selaginella selaginoides,Selaginella selaginoides,NA,NA,NA,#VALUE!,#VALUE!
Selaginella wallacei,Selaginella wallacei,NA,NA,NA,#VALUE!,#VALUE!
Solanum triflorum,Solanum triflorum,7,6,9,8,3
Triantha glutinosa,Triantha glutinosa,7,6,9,8,3
Sparganium angustifolium,Sparganium angustifolium,NA,6,8,7,2
Sparganium eurycarpum,Sparganium eurycarpum,6,6,8,7,2
Sparganium natans,Sparganium natans,NA,NA,NA,#VALUE!,#VALUE!
Typha latifolia,Typha latifolia,NA,6,8,7,2
Urtica dioica,Urtica dioica,NA,NA,NA,#VALUE!,#VALUE!
Verbena bracteata,Verbena bracteata,7,6,11,10,5
Sambucus racemosa,Sambucus racemosa,6,5,8,7,3
Viburnum edule,Viburnum edule,6,5,9,8,4
Viburnum opulus,Viburnum opulus,6,5,8,7,3
Viola adunca,Viola adunca,6,4,10,9,6
Viola canadensis,Viola canadensis,6,5,11,10,6
Viola glabella,Viola glabella,6,5,8,7,3
Viola nephrophylla,Viola nephrophylla,NA,5,8,7,3
Viola nuttallii,Viola nuttallii,5,4,7,6,3
Viola orbiculata,Viola orbiculata,6,5,10,9,5
Viola vallicola,Viola vallicola,NA,4,7,6,3
Arceuthobium americanum,Arceuthobium americanum,NA,5,7,6,2
Equisetum x ferrissii,Equisetum x ferrissii,NA,NA,NA,#VALUE!,#VALUE!
Polygonum aviculare,Polygonum aviculare,9,7,11,10,4
Andromeda polifolia,Andromeda polifolia,NA,5,7,6,2
Corylus cornuta,Corylus cornuta,NA,4,6,5,2
Mahonia repens,Mahonia repens,NA,6,7,6,1
Maianthemum canadense,Maianthemum canadense,NA,6,8,7,2
Perideridia gairdneri,Perideridia gairdneri,7,7,8,7,1
Krascheninnikovia lanata,Krascheninnikovia lanata,6,5,8,9,4
Atriplex gardneri,Atriplex gardneri,6,5,9,8,4
